timestamp_ms,bus_raw,bus_voltage_v,current_raw,current_ma,power_raw,power_mw,target,standby_mode
470871,3889,4.86125,333,33.3,66,165,M5StackUnitCam,off
471871,3885,4.85625,334,33.4,66,165,M5StackUnitCam,off
472871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
473871,3881,4.85125,334,33.4,65,162.5,M5StackUnitCam,off
474871,3889,4.86125,333,33.3,66,165,M5StackUnitCam,off
475871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
476871,3887,4.85875,334,33.4,66,165,M5StackUnitCam,off
477871,3889,4.86125,333,33.3,66,165,M5StackUnitCam,off
478871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
479871,3888,4.86,334,33.4,66,165,M5StackUnitCam,off
480871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
481871,3888,4.86,334,33.4,66,165,M5StackUnitCam,off
482871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
483871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
484871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
485871,3877,4.84625,344,34.4,67,167.5,M5StackUnitCam,off
486871,3868,4.835,546,54.6,105,262.5,M5StackUnitCam,off
487871,3836,4.795,853,85.3,163,407.5,M5StackUnitCam,off
488871,3834,4.7925,873,87.3,167,417.5,M5StackUnitCam,off
489871,3832,4.79,877,87.7,168,420,M5StackUnitCam,off
490871,3767,4.70875,1542,154.2,290,725,M5StackUnitCam,off
491871,3766,4.7075,1539,153.9,289,722.5,M5StackUnitCam,off
492871,3767,4.70875,1530,153,288,720,M5StackUnitCam,off
494071,3760,4.7,1527,152.7,286,715,M5StackUnitCam,off
495071,3765,4.70625,1527,152.7,288,720,M5StackUnitCam,off
496071,3778,4.7225,1438,143.8,272,680,M5StackUnitCam,off
497071,3768,4.71,1470,147,277,692.5,M5StackUnitCam,off
498071,3775,4.71875,1437,143.7,271,677.5,M5StackUnitCam,off
499071,3778,4.7225,1435,143.5,271,677.5,M5StackUnitCam,off
500071,3889,4.86125,333,33.3,64,160,M5StackUnitCam,off
501071,3889,4.86125,332,33.2,65,162.5,M5StackUnitCam,off
502071,3888,4.86,333,33.3,65,162.5,M5StackUnitCam,off
503071,3886,4.8575,334,33.4,65,162.5,M5StackUnitCam,off
504071,3889,4.86125,333,33.3,65,162.5,M5StackUnitCam,off
505071,3888,4.86,333,33.3,65,162.5,M5StackUnitCam,off
506071,3887,4.85875,333,33.3,66,165,M5StackUnitCam,off
507071,3887,4.85875,334,33.4,66,165,M5StackUnitCam,off
508071,3890,4.8625,333,33.3,66,165,M5StackUnitCam,off
509071,3890,4.8625,334,33.4,66,165,M5StackUnitCam,off
509871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
510871,3885,4.85625,334,33.4,66,165,M5StackUnitCam,off
511871,3887,4.85875,334,33.4,66,165,M5StackUnitCam,off
512871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
513871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
514871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
515871,3888,4.86,334,33.4,66,165,M5StackUnitCam,off
516871,3890,4.8625,334,33.4,66,165,M5StackUnitCam,off
517871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
518871,3887,4.85875,334,33.4,66,165,M5StackUnitCam,off
519871,3890,4.8625,334,33.4,66,165,M5StackUnitCam,off
520871,3890,4.8625,334,33.4,66,165,M5StackUnitCam,off
521871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
522871,3889,4.86125,334,33.4,66,165,M5StackUnitCam,off
523871,3885,4.85625,334,33.4,66,165,M5StackUnitCam,off
524871,3888,4.86,334,33.4,66,165,M5StackUnitCam,off
525871,3889,4.86125,335,33.5,66,165,M5StackUnitCam,off
526871,3889,4.86125,335,33.5,66,165,M5StackUnitCam,off
527871,3886,4.8575,335,33.5,66,165,M5StackUnitCam,off
528871,3886,4.8575,334,33.4,66,165,M5StackUnitCam,off
529871,3869,4.83625,546,54.6,105,262.5,M5StackUnitCam,off
530871,3873,4.84125,502,50.2,97,242.5,M5StackUnitCam,off
531871,3832,4.79,871,87.1,167,417.5,M5StackUnitCam,off
532871,3833,4.79125,872,87.2,167,417.5,M5StackUnitCam,off
533871,3769,4.71125,1527,152.7,287,717.5,M5StackUnitCam,off
534871,3767,4.70875,1532,153.2,288,720,M5StackUnitCam,off
535871,3767,4.70875,1518,151.8,286,715,M5StackUnitCam,off
536871,3776,4.72,1428,142.8,269,672.5,M5StackUnitCam,off
537871,3777,4.72125,1428,142.8,270,675,M5StackUnitCam,off
538871,3765,4.70625,1516,151.6,285,712.5,M5StackUnitCam,off
